,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
0,1,p1,50.131,40.6929,53.9336,29.7853,0.8219144724361532,1.1777978871359875,25.0,1.0,1,1
1,1,p2,48.6175,40.335,52.8145,24.5927,1.5310330630002738,1.6213040476059093,29.0,9.0,1,0
2,1,v17,69.7595,47.3129,28.3216,23.1261,1.9509999999999998,2.961000499238561,38.0,1.0,2,1
3,1,p55,53.1437,30.4864,48.45399999999999,41.4291,0.9400120531142141,1.2355396476850153,21.0,2.0,1,0
4,1,p83,64.5442,36.4588,59.8095,45.7972,0.6819681664124799,0.9524026457892188,26.0,1.0,1,1
5,1,p84,65.2087,36.0438,60.4089,46.2123,0.6973640799467664,0.9748615802555008,26.0,1.0,1,1
6,1,p85,64.5348,35.3247,59.553000000000004,45.5126,1.0879830881038548,0.9946427573413136,29.0,3.0,1,1
7,2,v22,83.1455,54.9883,27.7723,22.9452,1.4122,3.4638987195379567,86.0,44.0,2,1
8,2,p91,69.717,38.9688,58.1543,45.0567,1.1164041248580194,1.1109524111339537,80.0,52.0,1,1
9,2,p92,71.0087,39.1994,58.9901,45.6019,1.1005086324059434,1.1957874611905885,81.0,54.0,1,1
10,2,p93,70.3299,39.8687,59.5326,45.8997,0.8699513204771863,1.2243309186093903,81.0,56.0,1,1
11,3,v23,69.9732,46.7593,24.1916,20.2539,2.1252,3.0766741338175367,125.0,83.0,2,1
12,3,p94,65.5427,35.8089,58.8997,45.5299,1.1486699961259543,1.1843072091720634,94.0,74.0,1,0
13,3,p95,66.124,35.5369,58.918,45.042,1.1599554517307982,1.1445549924025533,95.0,74.0,1,0
14,3,p96,66.6975,35.6573,58.8481,45.1859,1.2359481097521854,1.142361451448929,96.0,74.0,1,0
15,3,p133,58.0206,43.4255,64.9158,36.4078,0.5663003619988248,1.041211498132481,118.0,80.0,1,1
16,3,p134,57.5141,42.9191,63.09,36.03,0.24268601113372812,1.1812809031571756,123.0,82.0,1,1
17,4,v23,69.9732,46.7593,24.1916,20.2539,2.1252,3.0766741338175367,125.0,83.0,2,1
18,4,p136,57.6834,43.1069,66.1727,37.0146,0.47292919131726263,0.9618194015377174,121.0,95.0,1,1
19,5,p4,51.114,40.5523,53.4047,25.7137,1.1909373829047436,1.4819582541586538,139.0,119.0,1,0
20,5,p5,48.4531,40.6397,50.2348,27.1295,0.9431356742272026,1.3078986987397698,142.0,120.0,1,1
21,5,p6,50.0058,41.426,51.4541,25.6084,1.0218082109672049,1.3114773007123315,144.0,120.0,1,0
22,5,p7,50.0225,41.3645,56.4173,34.1724,1.0723044810127391,1.343517699450373,139.0,125.0,1,0
23,5,p8,49.9837,40.425,56.0708,33.9706,1.0553680163810157,1.327851446253869,139.0,126.0,1,0
24,5,v25,70.3851,47.1027,26.3139,21.8681,2.5967,2.7486233109461318,165.0,118.0,2,1
25,6,v25,70.3851,47.1027,26.3139,21.8681,2.5967,2.7486233109461318,165.0,118.0,2,1
26,6,p57,54.1913,29.705,49.2679,41.2152,0.8524375930236769,0.9948284873752974,159.0,132.0,1,1
27,6,p58,53.5402,28.9162,48.7107,40.1995,1.1535969226727334,0.9545860906531184,158.0,131.0,1,1
28,7,p11,42.4714,37.4477,42.1851,21.0365,1.2191346849302582,1.1483844701643189,187.0,145.0,1,1
29,7,v25,70.3851,47.1027,26.3139,21.8681,2.5967,2.7486233109461318,165.0,118.0,2,1
30,8,v6,19.8304,8.9609,82.1381,52.2199,7.8287,4.886051196940275,302.0,259.0,2,1
31,8,p23,48.3348,39.8961,53.53,26.1864,1.4204265732518524,1.396655503339498,284.0,263.0,1,0
32,8,p24,47.6451,40.0983,52.6766,25.7241,1.37505791150773,1.44054621750265,284.0,263.0,1,0
33,8,p61,53.6658,28.4073,52.1876,40.6494,1.5692024598502259,1.3945670915928907,289.0,271.0,1,0
34,9,v28,83.10600000000001,54.6472,29.3561,24.3484,3.3187,2.884718312824325,376.0,322.0,2,1
35,9,v29,84.2924,55.1544,31.2891,25.0284,3.1918,2.8703975071867642,381.0,326.0,2,1
36,9,p112,63.8124,35.3201,58.7203,45.2664,0.5066727247444843,1.0606757574377697,369.0,326.0,1,1
37,9,p113,62.997,34.8917,60.1761,44.0416,0.834280678189301,0.9514323835588201,361.0,324.0,1,1
38,9,p114,79.7132,46.6176,66.0055,49.3064,1.9141847141799038,1.468555596564397,351.0,330.0,1,0
39,10,v31,82.7321,54.39,27.8487,23.0676,2.5055,2.3750564022278557,406.0,333.0,2,1
40,10,p150,65.2913,48.8936,66.8251,36.5773,1.040306709581362,1.244479756198301,423.0,356.0,1,1
41,10,p151,65.9065,47.9347,67.6077,37.0776,0.6044769639944934,1.2888774487312358,422.0,358.0,1,1
42,11,v31,82.7321,54.39,27.8487,23.0676,2.5055,2.3750564022278557,406.0,333.0,2,1
43,11,p115,70.77600000000001,40.3887,57.3964,43.5314,1.2784070165639736,1.0790128514274615,388.0,357.0,1,0
44,11,p116,62.9703,35.0795,60.3246,48.0455,1.154263821662968,1.1383216388093536,388.0,364.0,1,0
45,11,p117,63.652,34.5279,60.6882,46.6023,1.1166703587003641,1.0994952842836685,386.0,363.0,1,0
46,11,p152,61.6426,44.8628,68.8556,38.8998,0.0021095023109728986,1.0325136949142417,399.0,372.0,1,1
47,11,p153,60.9805,44.3899,67.9734,37.8583,0.004924428900898052,1.0258879447805804,398.0,369.0,1,1
48,12,v33,82.5171,54.5736,27.7275,22.665,1.7865,2.301918784027988,445.0,374.0,2,1
49,12,v34,85.4252,56.4249,27.7779,22.8826,1.1322,2.4489787812312374,449.0,377.0,2,1
50,12,p118,69.1265,38.6776,65.0368,49.5269,0.5435437148932917,1.7876319415337416,416.0,391.0,1,1
51,12,p154,65.9866,50.0088,69.3952,37.8198,0.6665443196067311,1.1022835317358661,423.0,396.0,1,1
52,12,p155,66.9933,49.4688,70.2816,38.6805,0.6567704012819092,1.4477341806746895,421.0,398.0,1,1
53,13,v10,24.8033,13.3007,85.3573,54.5256,4.6513,2.9390518605306086,451.0,383.0,2,1
54,13,p119,63.358000000000004,34.9801,57.3421,45.1742,1.0308475396488075,1.189924380547218,441.0,421.0,1,0
55,13,p120,63.6965,35.1697,58.8582,45.7315,0.9304697415821752,1.3498779546435382,438.0,421.0,1,0
56,13,p156,57.8088,43.9823,59.9047,35.3373,0.7930165319840438,1.6553732970543962,423.0,412.0,1,1
57,13,p157,57.5876,43.4424,59.5397,35.9363,0.8920466467623764,1.5930855998275373,422.0,413.0,1,0
58,14,v34,85.4252,56.4249,27.7779,22.8826,1.1322,2.4489787812312374,449.0,377.0,2,1
